date,median,lower_95,upper_95
2020-07-11,0.08315975,0.0031596975,0.3987205499999996
2020-07-12,0.0874898,0.0036635315000000004,0.4246302999999999
2020-07-13,0.0936854,0.0048754422500000005,0.44637159999999987
2020-07-14,0.106281,0.006589218,0.4847989749999995
2020-07-15,0.122473,0.009673707749999998,0.5386560499999998
2020-07-16,0.1443925,0.015433675000000001,0.5930400499999998
2020-07-17,0.179396,0.025853775,0.69557945
2020-07-18,0.232116,0.041103055,0.8347323749999994
2020-07-19,0.31862999999999997,0.0664002225,0.994153374999999
2020-07-20,0.445925,0.10897175,1.21889625
2020-07-21,0.6264035,0.19449065,1.583133249999999
2020-07-22,0.9005585,0.34948515,2.0034154999999996
2020-07-23,1.289105,0.6079538250000001,2.5250132499999993
2020-07-24,1.810185,0.9548706499999999,3.2365392499999994
2020-07-25,2.44376,1.39612125,4.331466999999999
2020-07-26,3.120835,1.7892850000000002,5.43016775
2020-07-27,3.69745,2.116283,6.1524002499999995
2020-07-28,4.025874999999999,2.3366435,6.745020249999999
2020-07-29,4.112185,2.4451989999999997,6.6346405
2020-07-30,3.8462300000000003,2.36134,6.161673249999997
2020-07-31,3.376355,2.12190775,5.333465249999996
2020-08-01,2.831925,1.721395,4.476415749999998
2020-08-02,2.300535,1.34074375,3.7131094999999994
2020-08-03,1.865695,1.06676325,3.0203107499999997
2020-08-04,1.5384799999999998,0.8312874499999999,2.5561247499999995
2020-08-05,1.302035,0.6672746,2.189533999999999
2020-08-06,1.11514,0.5496249750000001,1.949340249999999
2020-08-07,0.955494,0.45313559999999997,1.7351354999999988
2020-08-08,0.8582110000000001,0.3858987,1.5797495000000001
2020-08-09,0.798268,0.35793135000000004,1.4932387499999995
2020-08-10,0.7906340000000001,0.345373725,1.4611024999999986
2020-08-11,0.8145640000000001,0.354009625,1.5167439999999994
2020-08-12,0.878086,0.38248892500000004,1.6339887499999992
2020-08-13,0.9864539999999999,0.4405886,1.8220132499999997
2020-08-14,1.105175,0.491324425,2.0109399999999997
2020-08-15,1.225655,0.553713525,2.2393869999999994
2020-08-16,1.3498299999999999,0.62743775,2.4806762499999992
2020-08-17,1.4740799999999998,0.663271625,2.6585634999999987
2020-08-18,1.6155300000000001,0.72142285,2.9208689999999993
2020-08-19,1.754775,0.7535360500000001,3.140658999999999
2020-08-20,1.85196,0.7736209749999999,3.3685589999999994
2020-08-21,1.9025949999999998,0.7621483,3.4140612499999996
2020-08-22,1.81936,0.740407825,3.388810999999997
2020-08-23,1.7043149999999998,0.66913325,3.2414722499999993
2020-08-24,1.5798100000000002,0.5908921,3.0740447499999997
2020-08-25,1.44786,0.5134419,2.98812525
2020-08-26,1.341965,0.408150125,2.8178472499999976
2020-08-27,1.242745,0.346633075,2.7869474999999997
2020-08-28,1.174075,0.2871691,2.7406029999999992
2020-08-29,1.112805,0.248507225,2.6179674999999993
2020-08-30,1.0816,0.21650185000000002,2.5888459999999993
2020-08-31,1.075785,0.211269225,2.6760772499999983
2020-09-01,1.0803449999999999,0.193457975,2.6665472499999994
2020-09-02,1.078235,0.1783067,2.700144749999999
2020-09-03,1.09887,0.17735137499999998,2.7244705
2020-09-04,1.1133449999999998,0.194498625,2.687324499999999
2020-09-05,1.15333,0.231772875,2.761944499999999
2020-09-06,1.224675,0.26229425,2.8355407499999994
2020-09-07,1.3510900000000001,0.3139346,3.0533374999999974
2020-09-08,1.533245,0.383019275,3.261264249999997
2020-09-09,1.7821,0.505226425,3.5670622499999984
2020-09-10,2.0743400000000003,0.703868175,4.024513999999998
2020-09-11,2.525055,1.003960475,4.737370499999995
2020-09-12,3.173985,1.4598865,5.552018499999999
2020-09-13,3.994485,2.1168810000000002,6.4511812499999985
2020-09-14,4.918290000000001,2.9124245,7.685071999999996
2020-09-15,5.777525000000001,3.637889,8.715869999999999
2020-09-16,6.18515,4.10911075,9.403126499999999
2020-09-17,6.14658,4.20419975,9.1058749999999975
2020-09-18,5.667755,3.97987375,8.235575749999994
2020-09-19,4.708055,3.35144925,6.691793999999998
2020-09-20,3.75227,2.66693725,5.473254999999999
2020-09-21,3.0520199999999997,2.0864155,4.468572499999999
2020-09-22,2.51769,1.6719665000000001,3.7419462499999994
2020-09-23,2.083405,1.36496525,3.1484812499999997
2020-09-24,1.78694,1.1154025,2.8387452499999997
2020-09-25,1.585075,0.956988,2.5165875
2020-09-26,1.4674049999999998,0.874876875,2.3427244999999988
2020-09-27,1.43984,0.8376641750000001,2.2823442499999995
2020-09-28,1.47679,0.88049625,2.308793749999998
2020-09-29,1.57413,0.9520084000000001,2.4523067499999995
2020-09-30,1.727245,1.05127975,2.64994875
2020-10-01,1.91376,1.208142,2.8375327499999994
2020-10-02,2.13696,1.39451525,3.132084999999999
2020-10-03,2.3190749999999998,1.53838725,3.3444942499999994
2020-10-04,2.48079,1.68057925,3.6155595000000003
2020-10-05,2.569065,1.7594762499999999,3.7078969999999996
2020-10-06,2.52145,1.7362345000000001,3.682537999999999
2020-10-07,2.40562,1.6426682499999998,3.454987499999999
2020-10-08,2.1916450000000003,1.47713325,3.22139025
2020-10-09,1.97885,1.2983507499999998,2.9422242499999993
2020-10-10,1.783505,1.13107625,2.630043499999999
2020-10-11,1.6509399999999999,1.0192865,2.5013555000000003
2020-10-12,1.549435,0.943918125,2.4065705
2020-10-13,1.4611100000000001,0.8742435,2.3422095
2020-10-14,1.37338,0.762042225,2.2371577499999993
2020-10-15,1.27313,0.663029925,2.1253447499999996
2020-10-16,1.16989,0.5323775500000001,2.028770999999997
2020-10-17,1.065835,0.40929292500000003,1.9340972499999995
2020-10-18,0.971563,0.30244540000000003,1.9110779999999994
2020-10-19,0.892484,0.22276217500000003,1.968341
2020-10-20,0.8355954999999999,0.1559604,2.163115249999998
